CowTimeLoc,Sequencing.File.Name,Cow,GWAS_Timepoint,Location,Sample.Type,PARITY,DIM,parity.group,SampleType_Parity,Darkness,Milk7d_T1,Milk_Tier,STAGE,PARITY.GROUP,Parity.Stage,Sequence Counts,dateTrial_recent,milkE_1,DMI_recent,rfi_recent,GFE
8571_1_ARS,Swab1-209,8571,1,ARS,Swab,2,135,Second,Swab_Second,0.4325588,87.6,Mid,Middle,Second,Second.Middle,22856,,,,,
8549_1_ARS,Swab1-210,8549,1,ARS,Swab,2,105,Second,Swab_Second,0.3724486,114,High,Middle,Second,Second.Middle,14706,,,,,
8548_1_ARS,Swab1-211,8548,1,ARS,Swab,3,161,Multi,Swab_Multi,0.4049357,99.7,Mid,Middle,Third,Third.Middle,15844,8/26/2019,31.3,32.2,2.2,1.0625
8562_1_ARS,Swab1-212,8562,1,ARS,Swab,3,105,Multi,Swab_Multi,0.4126537,99.9,Mid,Middle,Third,Third.Middle,44869,,,,,
8517_1_ARS,Swab1-213,8517,1,ARS,Swab,2,85,Second,Swab_Second,0.4052769,127,High,Early,Second,Second.Early,33464,,,,,
8508_1_ARS,Swab1-214,8508,1,ARS,Swab,2,191,Second,Swab_Second,0.3922075,87.8,Mid,Middle,Second,Second.Middle,27862,,,,,
8494_1_ARS,Swab1-216,8494,1,ARS,Swab,2,157,Second,Swab_Second,0.3783961,111,High,Middle,Second,Second.Middle,26797,8/26/2019,35.6,30.5,-0.5,1.1666667
8185_1_ARS,Swab1-217,8185,1,ARS,Swab,3,257,Multi,Swab_Multi,0.3836659,78.8,Mid,Late,Third,Third.Late,23754,,,,,
8300_1_ARS,Swab1-218,8300,1,ARS,Swab,3,74,Multi,Swab_Multi,0.3822765,119,High,Early,Third,Third.Early,28943,,,,,
8578_1_ARS,Swab1-219,8578,1,ARS,Swab,3,110,Multi,Swab_Multi,0.4017024,77.4,Mid,Middle,Third,Third.Middle,10192,,,,,
8512_1_ARS,Swab1-221,8512,1,ARS,Swab,2,164,Second,Swab_Second,0.5010635,113,High,Middle,Second,Second.Middle,35035,8/26/2019,39.2,36.1,3.5,1.0833333
8558_1_ARS,Swab1-222,8558,1,ARS,Swab,3,162,Multi,Swab_Multi,0.3830667,89.8,Mid,Middle,Third,Third.Middle,17856,8/26/2019,22.6,27.7,-2.1,1.1111111
8603_1_ARS,Swab1-223,8603,1,ARS,Swab,2,93,Second,Swab_Second,0.3968067,99.6,Mid,Early,Second,Second.Early,24416,,,,,
